model,rmse,wape,train_time_sec,inference_time_sec
ETS,151.9251981707112,15.65975764193149,1.4985075000149664,0.24019979991135187
SARIMA,647.8501730754045,42.29458622917356,272.3164346999838,0.8026692001149058
XGBoost,116.67927815291736,12.341246389883263,66.95424809999531,0.02991139999357983
LSTM,145.0432654808209,15.283103671675583,77.75316910000402,15.266613100131508
MV-Transformer-TRAFFIC_T2,109.23740616241558,10.768999954491989,4626.91113360005,0.4856443001772277
MV-Transformer-TRAFFIC_T3,105.28413510684422,10.324300775849457,4626.91113360005,0.34254130034241825
MV-Transformer-TRAFFIC_T4,103.9581050474176,10.132513275432418,4626.91113360005,0.5456297000637278
