model,rmse,wape,train_time_sec,inference_time_sec
ETS,16.2564856820332,20.546792585465433,5.575213200005237,0.21457780001219362
SARIMA,21.288337688034435,29.292297570204255,346.1618254999921,0.45144329995673615
XGBoost,12.282568266999426,15.467045192902729,420.908156100005726,0.003991400008089842
LSTM,33.13560723185494,28.72628810570394,608.622374200000195,1.7692448999878252
MV-Transformer-DISEASE_T1,13.8459358335749,15.53739937111985,1036.462,0.11570689994550776
MV-Transformer-DISEASE_T2,12.904198426326847,13.835448132115808,1275.15,0.12114290001045447
MV-Transformer-DISEASE_T3,10.261561198570085,12.3087338290495,1336.244,0.14870529992913362
