model,rmse,wape,train_time_sec,inference_time_sec
ETS,148.7253347588864,23.27075340648085,0.08126400000764988,0.009509600087767467
SARIMAX,641.3187786850759,51.18643115903665,0.19249419998959638,0.07056640001246706
XGBoost,114.79973015710354,16.963016226353446,138.62798670001212,0.04943724348861696
LSTM,145.7887963603736,22.93616380331185,302.1487752000103,2.1276936000213027
TFT/TFT-compact,71.44754298285936,10.254381749150468,2609.126783399988,7.7542003000562545
TFT/TFT-base,69.38182582767782,9.810656958862872,2759.2760643000074,8.149324000143679
TFT/TFT-context,72.13309150998866,10.355496039245716,2799.6073676000233,7.973535000375705
