model,mae,accuracy,precision,train_time_sec,inference_time_sec
ETS,0.45572257484124923,0.7046585158697871,0.2636665056065579,104.12066780000168,3.0384930003638146
SARIMAX,0.4603457925868513,0.7207602652220771,0.26913623255723934,183.7551211999962,9.585266700043576
XGBoost,0.4905414856883461,0.6823078043393395,0.24714281155293433,318.18237320000480395,6.752811800004565
LSTM,0.4193752590494798,0.792996880999793,0.3265022077174122,727.6757460999943,254.68113160028588
PatchTST_compact,0.24685767699897654,0.8080012704394436,0.5857205176675876,13335.036804200005,89.426486797689
PatchTST_base,0.2552130803864529,0.795562740437802,0.36079600076908286,14333.070408200001,96.99684740007797
PatchTST_long_context,0.24977280063851864,0.8026750601317546,0.42344862665310273,19462.97767400001,137.29276140095317
