model,rmse,wape,train_time_sec
XGBoost(disease),95.32815462073,68.0770947594477,412.52131220002775
disease/TFT-coldstart-lite,74.88151947088333,65.2562435394529,1907.6452652000007
disease/TFT-coldstart-balanced,75.73119050352021,66.53839445662409,1917.7767515000014
disease/TFT-coldstart-context,74.83770228568785,65.6370115420128,2270.5749421000073
