model,rmse,wape,train_time_sec,inference_time_sec
XGBoost,192.45987948910414,25.28499101322024,419.28255130001344,0.08347137411736247
TFT/TFT-coldstart-lite,171.10941399978853,23.70122062113075,3900.423854199995,2.0291053014807403
TFT/TFT-coldstart-balanced,189.64509307023894,24.956194005686203,3885.0049217999913,2.2065512013505213
TFT/TFT-coldstart-context,199.347863083467,26.311114679733798,4354.982530700043,2.2998785991803743
